opportunity_id,sales_agent,manager,account,product,product_series,industry,sales_region,office_location,deal_stage,is_won,engage_date,close_date,estimated_amount,revenue,employees,account_age_at_engage,is_subsidiary,log_company_revenue,log_employee_count,engage_month,engage_quarter,engage_year
KWVA7VR1,Gladys Colclough,Melvin Marxen,Genco Pura Olive Oil Company,GTX Pro,GTX,Retail,Central,Italy,Lost,0,2016-11-04,2017-03-18,4821,894.33,1635.0,9.0,0,6.797192365399952,7.400009517162692,Nov,Q4,2016
S8DX3XOU,James Ascencio,Summer Sewald,Sunnamplex,GTX Plus Pro,GTX,Marketing,West,Poland,Won,1,2016-11-04,2017-03-10,5482,894.37,1593.0,8.0,0,6.797237040666615,7.374001859350161,Nov,Q4,2016
ENB2XD8G,Maureen Marcano,Summer Sewald,Sonron,GTX Plus Pro,GTX,Telecommunications,West,United States,Won,1,2016-11-04,2017-03-06,5482,1699.85,5108.0,17.0,0,7.438883405085958,8.538758969330798,Nov,Q4,2016
09YE9QOV,Hayden Neloms,Celia Rouche,Finjob,MG Advanced,MG,Employment,West,United States,Won,1,2016-11-05,2017-03-11,3393,2059.9,3644.0,28.0,0,7.630898059577463,8.201111644442758,Nov,Q4,2016
3F5MZNEH,Rosalina Dieter,Celia Rouche,Sonron,MG Special,MG,Telecommunications,West,United States,Lost,0,2016-11-05,2017-03-03,55,1699.85,5108.0,17.0,0,7.438883405085958,8.538758969330798,Nov,Q4,2016
M6WEJXC0,Rosalina Dieter,Celia Rouche,Scotfind,MG Advanced,MG,Software,West,United States,Won,1,2016-11-05,2017-03-06,3393,6354.87,16780.0,20.0,1,8.757134074332273,9.728002573001161,Nov,Q4,2016
6PTR7VBR,Versie Hillebrand,Dustin Brinkmann,Treequote,MG Special,MG,Telecommunications,Central,United States,Won,1,2016-11-06,2017-03-05,55,5266.09,8595.0,28.0,1,8.569233306863506,9.059052257762401,Nov,Q4,2016
902REDPA,Daniell Hammack,Rocco Neubert,Xx-zobam,GTX Pro,GTX,Entertainment,East,United States,Lost,0,2016-11-07,2017-03-09,4821,3838.39,8274.0,27.0,0,8.253068778796447,9.020994200245264,Nov,Q4,2016
5J9CMGDV,Elease Gluck,Celia Rouche,Rantouch,MG Special,MG,Telecommunications,West,United States,Won,1,2016-11-07,2017-03-08,55,1188.42,3015.0,22.0,0,7.081221072332061,8.011686729127847,Nov,Q4,2016
JJXRR8R6,James Ascencio,Summer Sewald,Fasehatice,GTX Plus Pro,GTX,Retail,West,United States,Lost,0,2016-11-07,2017-03-17,5482,4968.91,7523.0,26.0,0,8.511157010274799,8.925853190420922,Nov,Q4,2016
WF4HA5NW,Moses Frase,Dustin Brinkmann,Ron-tech,MG Special,MG,Medical,Central,United States,Won,1,2016-11-07,2017-03-18,55,3922.42,6837.0,24.0,0,8.274719001401705,8.830250570199247,Nov,Q4,2016
C5K2JP1H,Violet Mclelland,Cara Losch,Vehement Capital Partners,GTX Plus Basic,GTX,Finance,East,United States,Won,1,2016-11-07,2017-03-11,1096,646.1,883.0,23.0,1,6.47250084206322,6.784457062637643,Nov,Q4,2016
ADRB8OMB,Darcel Schlecht,Melvin Marxen,Warephase,GTX Basic,GTX,Services,Central,United States,Won,1,2016-11-08,2017-03-26,550,2041.73,5276.0,19.0,0,7.622042427493597,8.571113033405668,Nov,Q4,2016
SBCR987L,Kami Bicknell,Summer Sewald,Zoomit,GTX Basic,GTX,Entertainment,West,United States,Won,1,2016-11-10,2017-03-23,550,324.19,978.0,24.0,0,5.7844096268933525,6.88653164253051,Nov,Q4,2016
JSD4APT2,Versie Hillebrand,Dustin Brinkmann,Bioholding,MG Special,MG,Medical,Central,Philipines,Won,1,2016-11-10,2017-03-12,55,587.34,1356.0,4.0,0,6.377305012079846,7.213031659834869,Nov,Q4,2016
AO9Z2D17,Violet Mclelland,Cara Losch,Xx-zobam,GTX Plus Pro,GTX,Entertainment,East,United States,Lost,0,2016-11-10,2017-03-11,5482,3838.39,8274.0,27.0,0,8.253068778796447,9.020994200245264,Nov,Q4,2016
5M58DTJK,Elease Gluck,Celia Rouche,Cheers,MG Special,MG,Entertainment,West,United States,Won,1,2016-11-11,2017-03-05,55,4269.9,6472.0,23.0,1,8.35957985684692,8.77539495854551,Nov,Q4,2016
KNY1OSAB,Maureen Marcano,Summer Sewald,Labdrill,GTX Pro,GTX,Medical,West,United States,Won,1,2016-11-11,2017-03-14,4821,2741.37,9226.0,31.0,0,7.916577789020406,9.129889247578555,Nov,Q4,2016
EAZDUUM9,Rosie Papadopoulos,Cara Losch,Zotware,MG Advanced,MG,Software,East,United States,Lost,0,2016-11-11,2017-03-01,3393,4478.47,13809.0,37.0,0,8.407260014839183,9.533148246403337,Nov,Q4,2016
2STUSOFE,Versie Hillebrand,Dustin Brinkmann,dambase,MG Special,MG,Marketing,Central,United States,Won,1,2016-11-11,2017-03-03,55,2173.98,2928.0,21.0,1,7.684774748078207,7.982416346827733,Nov,Q4,2016
JYKM0B00,James Ascencio,Summer Sewald,Xx-holding,GTX Pro,GTX,Finance,West,United States,Won,1,2016-11-12,2017-03-06,4821,7537.24,20293.0,23.0,0,8.927744012004242,9.918080554839028,Nov,Q4,2016
KU28360J,Kary Hendrixson,Summer Sewald,Fasehatice,GTX Basic,GTX,Retail,West,United States,Won,1,2016-11-12,2017-03-19,550,4968.91,7523.0,26.0,0,8.511157010274799,8.925853190420922,Nov,Q4,2016
N4SD17JR,Reed Clapper,Rocco Neubert,Acme Corporation,GTX Basic,GTX,Technology,East,United States,Won,1,2016-11-12,2017-03-01,550,1100.04,2822.0,20.0,0,7.004010466671277,7.945555428253489,Nov,Q4,2016
E67P9Y3Q,Rosalina Dieter,Celia Rouche,Green-Plus,GTX Basic,GTX,Services,West,United States,Won,1,2016-11-12,2017-03-03,550,692.19,1922.0,13.0,0,6.541304131886272,7.56164174558878,Nov,Q4,2016
AT3MMVIS,Wilburn Farren,Cara Losch,The New York Inquirer,MG Advanced,MG,Medical,East,United States,Won,1,2016-11-12,2017-03-07,3393,439.21,792.0,20.0,0,6.0872518857811775,6.675823221634848,Nov,Q4,2016
REJ11LRY,Garret Kinder,Cara Losch,Mathtouch,GTX Plus Basic,GTX,Marketing,East,Jordan,Won,1,2016-11-13,2017-03-14,1096,3027.46,9516.0,32.0,0,8.015809518475102,9.160834952072344,Nov,Q4,2016
ERV0CAZ7,Versie Hillebrand,Dustin Brinkmann,Zumgoity,MG Special,MG,Medical,Central,United States,Won,1,2016-11-13,2017-03-09,55,441.08,1210.0,32.0,0,6.091490861175107,7.099201743553092,Nov,Q4,2016
8SOQADK7,Anna Snelling,Dustin Brinkmann,Gogozoom,MG Special,MG,Telecommunications,Central,United States,Lost,0,2016-11-14,2017-03-30,55,86.68,187.0,9.0,1,4.473693823199706,5.236441962829949,Nov,Q4,2016
TCHFT25B,Darcel Schlecht,Melvin Marxen,Stanredtax,GTX Basic,GTX,Finance,Central,United States,Lost,0,2016-11-14,2017-03-08,550,1698.2,3798.0,29.0,0,7.43791283104762,8.242493153187626,Nov,Q4,2016
CZVN09WN,Darcel Schlecht,Melvin Marxen,Konmatfix,GTX Plus Basic,GTX,Marketing,Central,United States,Won,1,2016-11-14,2017-03-20,1096,375.43,1190.0,31.0,0,5.930732106979362,7.0825485693553,Nov,Q4,2016
30UQWUKB,Marty Freudenburg,Melvin Marxen,Genco Pura Olive Oil Company,GTX Plus Basic,GTX,Retail,Central,Italy,Won,1,2016-11-15,2017-03-20,1096,894.33,1635.0,9.0,0,6.797192365399952,7.400009517162692,Nov,Q4,2016
97UN20YY,Darcel Schlecht,Melvin Marxen,Conecom,MG Advanced,MG,Technology,Central,United States,Won,1,2016-11-16,2017-03-14,3393,1520.66,1806.0,11.0,0,7.3275571231903545,7.499423290592229,Nov,Q4,2016
JXLERZ9O,Kary Hendrixson,Summer Sewald,Golddex,GTX Basic,GTX,Finance,West,United States,Won,1,2016-11-16,2017-03-31,550,52.5,165.0,8.0,0,3.979681653901961,5.111987788356544,Nov,Q4,2016
6ROE69W5,Rosalina Dieter,Celia Rouche,Plexzap,GTX Basic,GTX,Retail,West,United States,Lost,0,2016-11-16,2017-03-11,550,2437.85,4874.0,15.0,0,7.799281895709674,8.491875383431948,Nov,Q4,2016
0DFXFKT7,Darcel Schlecht,Melvin Marxen,Rundofase,GTX Plus Basic,GTX,Technology,Central,United States,Lost,0,2016-11-17,2017-03-21,1096,1008.06,1238.0,33.0,0,6.916774483402297,7.122059881629142,Nov,Q4,2016
XKMZVSN4,James Ascencio,Summer Sewald,Sonron,GTX Plus Pro,GTX,Telecommunications,West,United States,Won,1,2016-11-17,2017-03-05,5482,1699.85,5108.0,17.0,0,7.438883405085958,8.538758969330798,Nov,Q4,2016
IU8V0BZK,Marty Freudenburg,Melvin Marxen,Finhigh,GTX Plus Basic,GTX,Finance,Central,United States,Won,1,2016-11-17,2017-03-17,1096,1102.43,1759.0,10.0,0,7.00617878915823,7.473069088032197,Nov,Q4,2016
XY42936P,Maureen Marcano,Summer Sewald,Finjob,GTX Plus Basic,GTX,Employment,West,United States,Won,1,2016-11-17,2017-03-13,1096,2059.9,3644.0,28.0,0,7.630898059577463,8.201111644442758,Nov,Q4,2016
XRN54MBM,Niesha Huffines,Melvin Marxen,Ron-tech,GTX Basic,GTX,Medical,Central,United States,Won,1,2016-11-17,2017-03-05,550,3922.42,6837.0,24.0,0,8.274719001401705,8.830250570199247,Nov,Q4,2016
2V848WZD,Lajuana Vencill,Dustin Brinkmann,Stanredtax,MG Advanced,MG,Finance,Central,United States,Won,1,2016-11-18,2017-03-04,3393,1698.2,3798.0,29.0,0,7.43791283104762,8.242493153187626,Nov,Q4,2016
ONYNTUCG,Darcel Schlecht,Melvin Marxen,Funholding,GTX Pro,GTX,Finance,Central,United States,Lost,0,2016-11-19,2017-03-17,4821,2819.5,7227.0,25.0,1,7.944669453180031,8.885717651712119,Nov,Q4,2016
HIOHX80Y,Darcel Schlecht,Melvin Marxen,Gogozoom,MG Advanced,MG,Telecommunications,Central,United States,Won,1,2016-11-19,2017-03-18,3393,86.68,187.0,9.0,1,4.473693823199706,5.236441962829949,Nov,Q4,2016
LPKT07PV,Boris Faz,Rocco Neubert,Opentech,GTX Pro,GTX,Finance,East,United States,Won,1,2016-11-20,2017-03-23,4821,355.23,853.0,22.0,0,5.875576589656054,6.74993119378857,Nov,Q4,2016
WPB2SLIG,Donn Cantrell,Rocco Neubert,Silis,GTX Plus Pro,GTX,Medical,East,United States,Won,1,2016-11-20,2017-03-14,5482,2818.38,6290.0,22.0,0,7.944272281603784,8.74687531957003,Nov,Q4,2016
XUSUEAV7,Elease Gluck,Celia Rouche,Zoomit,GTK 500,GTK,Entertainment,West,United States,Won,1,2016-11-20,2017-03-09,26768,324.19,978.0,24.0,0,5.7844096268933525,6.88653164253051,Nov,Q4,2016
3TYPII47,Kami Bicknell,Summer Sewald,Goodsilron,GTX Plus Basic,GTX,Marketing,West,United States,Won,1,2016-11-20,2017-03-03,1096,2952.73,5107.0,16.0,0,7.990824057424448,8.53856321715243,Nov,Q4,2016
7WAX8Z8O,Lajuana Vencill,Dustin Brinkmann,Cancity,MG Advanced,MG,Retail,Central,United States,Lost,0,2016-11-20,2017-03-08,3393,718.62,2448.0,15.0,0,6.578723294908609,7.803435056952168,Nov,Q4,2016
MYDUMR3R,Lajuana Vencill,Dustin Brinkmann,Rangreen,GTX Basic,GTX,Technology,Central,Panama,Won,1,2016-11-20,2017-03-04,550,2938.67,8775.0,29.0,0,7.9860526091348385,9.079776001955066,Nov,Q4,2016
37JFKD4I,Niesha Huffines,Melvin Marxen,dambase,GTX Plus Basic,GTX,Marketing,Central,United States,Won,1,2016-11-20,2017-03-09,1096,2173.98,2928.0,21.0,1,7.684774748078207,7.982416346827733,Nov,Q4,2016
25YKPHX8,Donn Cantrell,Rocco Neubert,Kan-code,GTX Basic,GTX,Software,East,United States,Won,1,2016-11-21,2017-03-21,550,11698.03,34288.0,34.0,0,9.367261211366051,10.442579882010428,Nov,Q4,2016
BXXMA7F3,Hayden Neloms,Celia Rouche,Nam-zim,MG Advanced,MG,Services,West,Brazil,Lost,0,2016-11-21,2017-03-01,3393,405.59,1179.0,29.0,1,6.007805306696034,7.07326971745971,Nov,Q4,2016
GIUUTBXM,Kary Hendrixson,Summer Sewald,Y-corporation,GTX Pro,GTX,Employment,West,United States,Won,1,2016-11-21,2017-03-14,4821,2871.35,9561.0,33.0,0,7.962885789038285,9.165552189186048,Nov,Q4,2016
MFX2LR1Q,Lajuana Vencill,Dustin Brinkmann,Ron-tech,MG Advanced,MG,Medical,Central,United States,Won,1,2016-11-21,2017-03-15,3393,3922.42,6837.0,24.0,0,8.274719001401705,8.830250570199247,Nov,Q4,2016
DUHE9FLY,Marty Freudenburg,Melvin Marxen,Conecom,GTX Pro,GTX,Technology,Central,United States,Won,1,2016-11-21,2017-03-01,4821,1520.66,1806.0,11.0,0,7.3275571231903545,7.499423290592229,Nov,Q4,2016
96BSG7R1,Zane Levy,Summer Sewald,Sunnamplex,GTX Plus Basic,GTX,Marketing,West,Poland,Lost,0,2016-11-21,2017-03-17,1096,894.37,1593.0,8.0,0,6.797237040666615,7.374001859350161,Nov,Q4,2016
7FQMSWIX,Corliss Cosme,Cara Losch,Bioplex,MG Special,MG,Medical,East,United States,Won,1,2016-11-22,2017-03-04,55,326.82,1016.0,25.0,0,5.792464677261214,6.92461239604856,Nov,Q4,2016
C20AVXN7,Darcel Schlecht,Melvin Marxen,Gogozoom,GTX Pro,GTX,Telecommunications,Central,United States,Won,1,2016-11-22,2017-03-14,4821,86.68,187.0,9.0,1,4.473693823199706,5.236441962829949,Nov,Q4,2016
GS1QVWCR,Kami Bicknell,Summer Sewald,Plusstrip,GTX Basic,GTX,Entertainment,West,United States,Won,1,2016-11-22,2017-03-31,550,349.81,315.0,14.0,0,5.860244766363111,5.755742213586912,Nov,Q4,2016
ZWH8FXY3,Marty Freudenburg,Melvin Marxen,Toughzap,GTX Basic,GTX,Retail,Central,United States,Won,1,2016-11-22,2017-03-03,550,332.43,799.0,21.0,0,5.809432948272155,6.684611727667927,Nov,Q4,2016
2U94Y3Q9,Rosie Papadopoulos,Cara Losch,Vehement Capital Partners,MG Advanced,MG,Finance,East,United States,Lost,0,2016-11-22,2017-03-20,3393,646.1,883.0,23.0,1,6.47250084206322,6.784457062637643,Nov,Q4,2016
AAR79NOO,Versie Hillebrand,Dustin Brinkmann,Codehow,MG Special,MG,Software,Central,United States,Won,1,2016-11-22,2017-03-11,55,2714.9,2641.0,18.0,1,7.9068786691495045,7.879291485082271,Nov,Q4,2016
B6B0PNR2,Vicki Laflamme,Celia Rouche,Dalttechnology,GTX Pro,GTX,Software,West,United States,Won,1,2016-11-22,2017-03-05,4821,98.79,96.0,3.0,1,4.603067977896221,4.574710978503383,Nov,Q4,2016
LXZA2OSZ,Corliss Cosme,Cara Losch,Ontomedia,GTX Plus Pro,GTX,Employment,East,United States,Won,1,2016-11-23,2017-03-03,5482,882.12,2769.0,19.0,0,6.783461091710096,7.926602599181384,Nov,Q4,2016
N0ONCYVZ,Donn Cantrell,Rocco Neubert,Kinnamplus,MG Special,MG,Retail,East,United States,Lost,0,2016-11-23,2017-03-30,55,702.72,1831.0,12.0,0,6.556380549770846,7.513163545234075,Nov,Q4,2016
513DPFX5,Gladys Colclough,Melvin Marxen,Codehow,GTX Pro,GTX,Software,Central,United States,Won,1,2016-11-23,2017-03-03,4821,2714.9,2641.0,18.0,1,7.9068786691495045,7.879291485082271,Nov,Q4,2016
RU023K5W,Gladys Colclough,Melvin Marxen,Finhigh,MG Advanced,MG,Finance,Central,United States,Won,1,2016-11-23,2017-03-17,3393,1102.43,1759.0,10.0,0,7.00617878915823,7.473069088032197,Nov,Q4,2016
BZCBQ514,Markita Hansen,Celia Rouche,Y-corporation,GTX Basic,GTX,Employment,West,United States,Won,1,2016-11-23,2017-03-01,550,2871.35,9561.0,33.0,0,7.962885789038285,9.165552189186048,Nov,Q4,2016
HEE6P0QH,Anna Snelling,Dustin Brinkmann,Statholdings,MG Advanced,MG,Employment,Central,United States,Won,1,2016-11-24,2017-03-25,3393,291.27,586.0,19.0,0,5.677678032570093,6.375024819828097,Nov,Q4,2016
L8CHRJ2B,Cassey Cress,Rocco Neubert,Umbrella Corporation,MG Advanced,MG,Finance,East,United States,Won,1,2016-11-24,2017-03-01,3393,2022.14,5113.0,18.0,0,7.6124060389254975,8.539737155851132,Nov,Q4,2016
V2X2KMUR,Kami Bicknell,Summer Sewald,Faxquote,GTX Plus Basic,GTX,Telecommunications,West,United States,Won,1,2016-11-24,2017-03-28,1096,1825.82,5595.0,21.0,1,7.510332029356891,8.629807335785372,Nov,Q4,2016
AJIPJP75,Marty Freudenburg,Melvin Marxen,Codehow,GTX Plus Basic,GTX,Software,Central,United States,Lost,0,2016-11-24,2017-03-05,1096,2714.9,2641.0,18.0,1,7.9068786691495045,7.879291485082271,Nov,Q4,2016
NYVA2G6U,Versie Hillebrand,Dustin Brinkmann,Dontechi,MG Special,MG,Software,Central,United States,Won,1,2016-11-24,2017-03-02,55,4618.0,10083.0,34.0,0,8.437933510430605,9.218705288307811,Nov,Q4,2016
FF45BXTL,Vicki Laflamme,Celia Rouche,Konex,MG Advanced,MG,Technology,West,United States,Won,1,2016-11-24,2017-03-27,3393,7708.38,13756.0,36.0,0,8.950193048278516,9.529303064460995,Nov,Q4,2016
TTA9LYBS,Anna Snelling,Dustin Brinkmann,Treequote,MG Special,MG,Telecommunications,Central,United States,Won,1,2016-11-25,2017-03-01,55,5266.09,8595.0,28.0,1,8.569233306863506,9.059052257762401,Nov,Q4,2016
PAGZQH8L,Cecily Lampkin,Dustin Brinkmann,Treequote,MG Advanced,MG,Telecommunications,Central,United States,Won,1,2016-11-25,2017-03-06,3393,5266.09,8595.0,28.0,1,8.569233306863506,9.059052257762401,Nov,Q4,2016
J7YF6DS7,Corliss Cosme,Cara Losch,Betasoloin,GTX Plus Pro,GTX,Medical,East,United States,Won,1,2016-11-25,2017-03-01,5482,251.41,495.0,17.0,0,5.531054749533568,6.206575926724928,Nov,Q4,2016
S5IXY4Z9,Corliss Cosme,Cara Losch,Betasoloin,GTX Pro,GTX,Medical,East,United States,Won,1,2016-11-25,2017-03-06,4821,251.41,495.0,17.0,0,5.531054749533568,6.206575926724928,Nov,Q4,2016
JQBJMETQ,Darcel Schlecht,Melvin Marxen,Domzoom,MG Special,MG,Entertainment,Central,United States,Won,1,2016-11-25,2017-03-27,55,217.87,551.0,18.0,0,5.3884779462559935,6.313548046277095,Nov,Q4,2016
0LVWSWEW,Violet Mclelland,Cara Losch,Donquadtech,MG Special,MG,Technology,East,United States,Won,1,2016-11-25,2017-03-06,55,1712.68,3194.0,24.0,1,7.446398383944561,8.069342366811636,Nov,Q4,2016
K53BC1T9,Anna Snelling,Dustin Brinkmann,Domzoom,MG Special,MG,Entertainment,Central,United States,Lost,0,2016-11-26,2017-03-27,55,217.87,551.0,18.0,0,5.3884779462559935,6.313548046277095,Nov,Q4,2016
D40N5I9Y,Darcel Schlecht,Melvin Marxen,Finhigh,GTX Pro,GTX,Finance,Central,United States,Won,1,2016-11-26,2017-03-08,4821,1102.43,1759.0,10.0,0,7.00617878915823,7.473069088032197,Nov,Q4,2016
051QTX8Z,Niesha Huffines,Melvin Marxen,Globex Corporation,GTX Plus Basic,GTX,Technology,Central,Norway,Won,1,2016-11-26,2017-03-21,1096,1223.72,2497.0,16.0,0,7.110467525423826,7.823245690685523,Nov,Q4,2016
5D2XH04S,Reed Clapper,Rocco Neubert,Plussunin,MG Special,MG,Retail,East,United States,Won,1,2016-11-26,2017-03-12,55,1419.98,4018.0,13.0,0,7.259102053402697,8.2987883944492,Nov,Q4,2016
V9E582SK,Garret Kinder,Cara Losch,Konex,GTX Basic,GTX,Technology,East,United States,Won,1,2016-11-27,2017-03-16,550,7708.38,13756.0,36.0,0,8.950193048278516,9.529303064460995,Nov,Q4,2016
UK0LEZRJ,Kary Hendrixson,Summer Sewald,Condax,GTX Basic,GTX,Medical,West,United States,Won,1,2016-11-27,2017-03-03,550,4.54,9.0,-1.0,0,1.7119945007591924,2.302585092994046,Nov,Q4,2016
IT10CFQH,Rosalina Dieter,Celia Rouche,Konex,GTX Basic,GTX,Technology,West,United States,Won,1,2016-11-27,2017-03-26,550,7708.38,13756.0,36.0,0,8.950193048278516,9.529303064460995,Nov,Q4,2016
8VKD2CCH,Rosie Papadopoulos,Cara Losch,Massive Dynamic,GTX Pro,GTX,Entertainment,East,United States,Won,1,2016-11-27,2017-03-21,4821,665.06,1095.0,27.0,0,6.501379756572611,6.999422467507961,Nov,Q4,2016
2XQAKBXH,Zane Levy,Summer Sewald,Doncon,GTX Plus Pro,GTX,Technology,West,United States,Won,1,2016-11-27,2017-03-11,5482,587.72,1501.0,6.0,0,6.377950688618344,7.31455283232408,Nov,Q4,2016
7G7YLGJO,Zane Levy,Summer Sewald,Hatfan,GTX Plus Pro,GTX,Services,West,United States,Won,1,2016-11-27,2017-03-21,5482,792.46,1299.0,34.0,0,6.676403129118039,7.170119543449628,Nov,Q4,2016
GCA97W27,Darcel Schlecht,Melvin Marxen,Genco Pura Olive Oil Company,GTX Plus Basic,GTX,Retail,Central,Italy,Won,1,2016-11-28,2017-03-06,1096,894.33,1635.0,9.0,0,6.797192365399952,7.400009517162692,Nov,Q4,2016
K8FUZHOG,Kary Hendrixson,Summer Sewald,Scotfind,GTX Basic,GTX,Software,West,United States,Won,1,2016-11-28,2017-03-26,550,6354.87,16780.0,20.0,1,8.757134074332273,9.728002573001161,Nov,Q4,2016
5WJZMULK,Maureen Marcano,Summer Sewald,Hatfan,GTX Plus Basic,GTX,Services,West,United States,Won,1,2016-11-28,2017-03-19,1096,792.46,1299.0,34.0,0,6.676403129118039,7.170119543449628,Nov,Q4,2016
ZPYD4T9W,Versie Hillebrand,Dustin Brinkmann,Stanredtax,MG Special,MG,Finance,Central,United States,Won,1,2016-11-28,2017-03-07,55,1698.2,3798.0,29.0,0,7.43791283104762,8.242493153187626,Nov,Q4,2016
KE9ZEDS8,Gladys Colclough,Melvin Marxen,Scottech,MG Special,MG,Marketing,Central,United States,Won,1,2016-11-29,2017-03-07,55,45.39,100.0,4.0,1,3.8370839187636525,4.61512051684126,Nov,Q4,2016
7KK0HQ4C,Lajuana Vencill,Dustin Brinkmann,Ron-tech,MG Special,MG,Medical,Central,United States,Lost,0,2016-11-29,2017-03-28,55,3922.42,6837.0,24.0,0,8.274719001401705,8.830250570199247,Nov,Q4,2016
FP7014Z0,Lajuana Vencill,Dustin Brinkmann,Funholding,GTX Plus Basic,GTX,Finance,Central,United States,Won,1,2016-11-29,2017-03-12,1096,2819.5,7227.0,25.0,1,7.944669453180031,8.885717651712119,Nov,Q4,2016
N4HFHDMW,Wilburn Farren,Cara Losch,Plussunin,MG Advanced,MG,Retail,East,United States,Won,1,2016-11-29,2017-03-10,3393,1419.98,4018.0,13.0,0,7.259102053402697,8.2987883944492,Nov,Q4,2016
2HFLKREC,Cassey Cress,Rocco Neubert,Zotware,MG Advanced,MG,Software,East,United States,Won,1,2016-11-30,2017-03-15,3393,4478.47,13809.0,37.0,0,8.407260014839183,9.533148246403337,Nov,Q4,2016
7JVTTVCO,Violet Mclelland,Cara Losch,Gekko & Co,GTX Basic,GTX,Retail,East,United States,Won,1,2016-11-30,2017-03-24,550,2520.83,3502.0,26.0,0,7.832740107432939,8.161375023197486,Nov,Q4,2016
3X13866U,Anna Snelling,Dustin Brinkmann,dambase,GTX Plus Basic,GTX,Marketing,Central,United States,Lost,0,2016-12-01,2017-03-06,1096,2173.98,2928.0,21.0,1,7.684774748078207,7.982416346827733,Dec,Q4,2016
7LE19SYE,Cassey Cress,Rocco Neubert,Initech,MG Advanced,MG,Telecommunications,East,United States,Won,1,2016-12-01,2017-03-22,3393,6395.05,20275.0,22.0,0,8.763435891309156,9.91719319959224,Dec,Q4,2016
J5V2M7Y1,Corliss Cosme,Cara Losch,Gekko & Co,GTX Basic,GTX,Retail,East,United States,Won,1,2016-12-01,2017-03-26,550,2520.83,3502.0,26.0,0,7.832740107432939,8.161375023197486,Dec,Q4,2016
41MURAI5,Corliss Cosme,Cara Losch,Konex,GTX Basic,GTX,Technology,East,United States,Won,1,2016-12-01,2017-03-28,550,7708.38,13756.0,36.0,0,8.950193048278516,9.529303064460995,Dec,Q4,2016
QHI8WRIA,Darcel Schlecht,Melvin Marxen,Dontechi,GTX Pro,GTX,Software,Central,United States,Won,1,2016-12-01,2017-03-30,4821,4618.0,10083.0,34.0,0,8.437933510430605,9.218705288307811,Dec,Q4,2016
AJXAXV4W,Lajuana Vencill,Dustin Brinkmann,Finhigh,MG Advanced,MG,Finance,Central,United States,Lost,0,2016-12-01,2017-03-02,3393,1102.43,1759.0,10.0,0,7.00617878915823,7.473069088032197,Dec,Q4,2016
VPDXX5PJ,Niesha Huffines,Melvin Marxen,Cancity,GTX Basic,GTX,Retail,Central,United States,Won,1,2016-12-01,2017-03-26,550,718.62,2448.0,15.0,0,6.578723294908609,7.803435056952168,Dec,Q4,2016
